index	#1 Label	#2 ImageID	#3 String	#3 String.1
1	2	The image shows a person dressed in a vibrant blue suit, holding a box with a red ribbon. The individual appears to be in a formal or celebratory setting, possibly at an event or ceremony. The person's expression is neutral, and they are looking slightly to the side. The background features a green fence and some greenery, suggesting an outdoor or garden environment.	RT @ ltsChuckBass : $T$ is everything # MCM	Chuck Bass
2	1	The image shows a person dressed in a vibrant blue suit, holding a box with a red ribbon. The individual appears to be in a formal or celebratory setting, possibly at an event or ceremony. The person's expression is neutral, and they are looking slightly to the side. The background features a green fence and some greenery, suggesting an outdoor or garden environment.	RT @ ltsChuckBass : Chuck Bass is everything $T$	# MCM
3	1	The image is a promotional poster for the Million Youth March, commemorating its 15th anniversary. It features a young boy wearing a hooded garment, looking directly at the viewer with a serious expression. The text highlights the event's date, September 7, 2013, and location, Harlem, NY. It also mentions the National Black Family Convention and provides a website for more information. The overall tone is solemn and focused on unity and remembrance.	$T$ September 7 - - - - Shut Down New York City	Millions For Trayvon
4	0	The image is a promotional poster for the Million Youth March, commemorating its 15th anniversary. It features a young boy wearing a hooded garment, looking directly at the viewer with a serious expression. The text highlights the event's date, September 7, 2013, and location, Harlem, NY. It also mentions the National Black Family Convention and provides a website for more information. The overall tone is solemn and focused on unity and remembrance.	Millions For Trayvon September 7 - - - - Shut Down $T$	New York City
5	2	The image shows a person making a peace sign with their fingers, wearing glasses, and a green and white shirt. The background includes a computer monitor, a television, and a bed, suggesting a casual, relaxed setting. The person appears to be in a good mood, possibly expressing a positive or friendly sentiment.	Me as $T$ .	John Lennon
6	1	The image shows a person with a serious expression, wearing a dark suit and a white shirt. The background is blurred, focusing attention on the individual.	Former $T$ boss Rod Petricevic will be released from jail next month .	Bridgecorp
7	0	The image shows a person with a serious expression, wearing a dark suit and a white shirt. The background is blurred, focusing attention on the individual.	Former Bridgecorp boss $T$ will be released from jail next month .	Rod Petricevic
8	2	"The image shows a lanyard with a tag that has the text ""UNSC"" and ""Infinity"" on it. The tag also has an eagle emblem and the words ""Spartan Optic Calibration."" The number ""61"" is written on the tag. The person holding the tag appears to be at an event or conference, possibly related to space or technology. The tag suggests a sense of affiliation with a specific organization or project."	Tried $T$ for an out of game Halo 5 experience and holograms are totally awesome # E3	HoloLens
9	2	"The image shows a lanyard with a tag that has the text ""UNSC"" and ""Infinity"" on it. The tag also has an eagle emblem and the words ""Spartan Optic Calibration."" The number ""61"" is written on the tag. The person holding the tag appears to be at an event or conference, possibly related to space or technology. The tag suggests a sense of affiliation with a specific organization or project."	Tried HoloLens for an out of game Halo 5 experience and holograms are totally awesome $T$	# E3
10	2	The image captures a serene and majestic mosque at dusk. The sky is a gradient of deep blue, transitioning to a soft pink near the horizon, creating a tranquil and peaceful atmosphere. The illuminated mosque stands out against the darkening sky, with its intricate designs and domes glowing warmly. The scene evokes a sense of calm, reverence, and the beauty of architecture.	RT @ BBC Travel : Chasing light and shadows in beautiful $T$ : # architecture	# Iran
11	1	"The image shows a person wearing a football jersey with the name ""Manziel"" and the number ""1"" walking down the aisle of an airplane. The individual appears to be in motion, possibly boarding or disembarking the plane. The setting is a typical airplane cabin with rows of seats and overhead compartments. The person's posture and the context suggest a sense of urgency or purpose."	RT @ MySportsLegion : $T$ is already wearing a Johnny Football Browns jersey . ( via @ WFNYScott )	LeBron James
12	1	"The image shows a person wearing a football jersey with the name ""Manziel"" and the number ""1"" walking down the aisle of an airplane. The individual appears to be in motion, possibly boarding or disembarking the plane. The setting is a typical airplane cabin with rows of seats and overhead compartments. The person's posture and the context suggest a sense of urgency or purpose."	RT @ MySportsLegion : LeBron James is already wearing a $T$ Football Browns jersey . ( via @ WFNYScott )	Johnny
13	1	"The image shows a person wearing a football jersey with the name ""Manziel"" and the number ""1"" walking down the aisle of an airplane. The individual appears to be in motion, possibly boarding or disembarking the plane. The setting is a typical airplane cabin with rows of seats and overhead compartments. The person's posture and the context suggest a sense of urgency or purpose."	RT @ MySportsLegion : LeBron James is already wearing a Johnny $T$ jersey . ( via @ WFNYScott )	Football Browns
14	0	The image depicts a busy urban scene with a forklift lifting a banner, a person standing on a ladder, and several individuals walking or standing nearby. The atmosphere is bustling and focused, with a sense of purpose and activity. The sky is overcast, adding a muted tone to the scene.	RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at $T$ ( per Mayors office ) # KTVU	Hayes st hill
15	1	The image depicts a busy urban scene with a forklift lifting a banner, a person standing on a ladder, and several individuals walking or standing nearby. The atmosphere is bustling and focused, with a sense of purpose and activity. The sky is overcast, adding a muted tone to the scene.	RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at Hayes st hill ( per Mayors office ) $T$	# KTVU
16	2	The image captures a man in a suit and tie, smiling and walking through a crowd. The background features American flags and signs, suggesting a political or patriotic event. The atmosphere appears celebratory and enthusiastic.	$T$ gov candidate Kirk Dillard greets supporters as the race tightens on primary election night	GOP
17	2	The image captures a man in a suit and tie, smiling and walking through a crowd. The background features American flags and signs, suggesting a political or patriotic event. The atmosphere appears celebratory and enthusiastic.	GOP gov candidate $T$ greets supporters as the race tightens on primary election night	Kirk Dillard
18	1	"The image captures a moment of military aviation, with a large, white aircraft labeled ""BBC ROSSIA"" flying above a smaller, sleek fighter jet. The scene conveys a sense of power, precision, and readiness, as the fighter jet trails closely behind the larger aircraft, suggesting a demonstration of capability and control."	RT @ BI Defense : $T$ scrambles Typhoon jets to see off Russian bombers	Britain
19	1	"The image depicts a formal meeting with six individuals seated at a table, each wearing a nameplate. The setting appears to be a conference or seminar, with a large screen displaying the title ""Investment Policy Review"" and the name of the country, ""Republic of the Congo."" The individuals are focused on their tasks, with some looking at documents or screens, indicating a professional and serious atmosphere. The background includes a red banner with the text ""UNCTAD Investment Policy Review."""	$T$ tells # Congobrazza to do more to attract foreign companies in agriculture	UNCTAD
20	2	The image captures a hockey goalie standing in front of the net, poised and ready. The goalie's focused expression and the intense, packed stadium in the background convey a sense of anticipation and excitement. The bright lights and the vastness of the arena amplify the intensity of the moment.	Hanging out with $T$ # Blackhawks # WinterClassic	Corey
21	2	The image captures a hockey goalie standing in front of the net, poised and ready. The goalie's focused expression and the intense, packed stadium in the background convey a sense of anticipation and excitement. The bright lights and the vastness of the arena amplify the intensity of the moment.	Hanging out with Corey $T$ # WinterClassic	# Blackhawks
22	1	"The image captures two men in a celebratory moment, likely after a significant sports victory. The man on the left, wearing a white cap with ""CHAMPS"" and a ""Patriots"" hoodie, appears to be in a joyful and triumphant mood, possibly congratulating the other man. The man on the right, wearing a white cap with ""CHAMPS"" and a ""Patriots"" jersey, looks focused and possibly proud, with a slight smile. The background shows a crowd, suggesting a large event or game."	RT @ ESPN FirstTake : I think he should STAY in $T$ . - @ stephenasmith # RevisFuture	New England
23	1	The image captures a vibrant scene of a band performance. The performers, dressed in coordinated uniforms, are energetically playing their instruments. The expressions and body language convey enthusiasm and focus, with some members raising their hands in a gesture of excitement or direction. The setting appears to be a festive or celebratory event, indicated by the colorful decorations and the presence of a stage.	$T$ holds its own mini - parade around 70th anniversary of WWII victory : https : t . co JNz6Ocp595	Taiwan
24	2	The image captures a vibrant scene of a band performance. The performers, dressed in coordinated uniforms, are energetically playing their instruments. The expressions and body language convey enthusiasm and focus, with some members raising their hands in a gesture of excitement or direction. The setting appears to be a festive or celebratory event, indicated by the colorful decorations and the presence of a stage.	Taiwan holds its own mini - parade around 70th anniversary of $T$ victory : https : t . co JNz6Ocp595	WWII
25	1	"The image features two men with similar hairstyles, smiling and looking directly at the camera. The background is a gradient of light to dark, possibly indicating a studio setting. The text ""THE SWON BROTHERS"" is prominently displayed at the bottom, suggesting they are the subjects of the image."	. @ TheSwonBrothers @ SwonBrothers Performing July 24th at the $T$	Fayette County Fair
26	1	The image depicts a plate of food with a steak, cauliflower, tomatoes, and olives. The dish appears to be a well-prepared meal, with the steak looking juicy and the vegetables fresh. The overall mood conveyed by the image is one of satisfaction and enjoyment, as the food looks appetizing and well-presented.	RT @ nytimes : A French take on tagine , from $T$	Daniel Boulud
27	1	The image is a split-screen featuring two men. On the left, a man with short, light-colored hair and glasses is speaking, wearing a light-colored shirt and a dark tie. On the right, another man with light-colored hair and a red tie is also speaking, wearing a dark suit. Both appear to be engaged in a serious conversation or presentation.	RT @ thehill : Poll : $T$ amp Trump lead 2016 GOP field	Bush
28	1	The image is a split-screen featuring two men. On the left, a man with short, light-colored hair and glasses is speaking, wearing a light-colored shirt and a dark tie. On the right, another man with light-colored hair and a red tie is also speaking, wearing a dark suit. Both appear to be engaged in a serious conversation or presentation.	RT @ thehill : Poll : Bush amp $T$ lead 2016 GOP field	Trump
29	1	The image is a split-screen featuring two men. On the left, a man with short, light-colored hair and glasses is speaking, wearing a light-colored shirt and a dark tie. On the right, another man with light-colored hair and a red tie is also speaking, wearing a dark suit. Both appear to be engaged in a serious conversation or presentation.	RT @ thehill : Poll : Bush amp Trump lead 2016 $T$ field	GOP
30	2	The image captures a group of people, likely employees, gathered in an Apple store. They are dressed in blue uniforms and appear to be engaged in a meeting or presentation. The atmosphere seems focused and professional, with some individuals clapping, indicating a positive or celebratory mood. The large Apple logo on the glass wall adds a sense of brand identity and pride.	RT @ business : $T$ is now almost twice as valuable as the next biggest company on Earth	Apple
31	2	The image captures a festive night scene with a grand building adorned with blue and white lights. The building's dome and intricate architecture evoke a sense of grandeur and elegance. The illuminated trees and market stalls with orange lights add a warm, inviting atmosphere. The motion blur of the streetlights suggests a bustling, lively environment. Overall, the scene conveys a sense of joy, celebration, and the magic of the holiday season.	RT @ barrabest : A great photo of $T$ . Taken @ DeeGregg .	# Belfast City Hall
32	2	The image captures a moment of celebration among a group of hockey players. They are dressed in white jerseys with black and red accents, and their helmets are adorned with the team's logo. The players are hugging and smiling, exuding joy and camaraderie. The background shows a crowd of spectators, some of whom are clapping and cheering, adding to the festive atmosphere. The players' body language and the expressions on their faces convey a sense of triumph and shared success.	$T$ celebrates his goal , but the good times didn ' t last . # Blackhawks fall :	Brent Seabrook
33	0	The image captures a moment of celebration among a group of hockey players. They are dressed in white jerseys with black and red accents, and their helmets are adorned with the team's logo. The players are hugging and smiling, exuding joy and camaraderie. The background shows a crowd of spectators, some of whom are clapping and cheering, adding to the festive atmosphere. The players' body language and the expressions on their faces convey a sense of triumph and shared success.	Brent Seabrook celebrates his goal , but the good times didn ' t last . $T$ fall :	# Blackhawks
34	1	The image depicts a lively outdoor scene with people enjoying various activities. A group of individuals is gathered around a lighthouse-like structure, while others are engaging in water sports like kayaking and surfing. The atmosphere is vibrant and energetic, with people appearing to be having a great time. The setting is a mix of natural and urban elements, creating a dynamic and inviting environment.	This is a fantastic idea - a purifying wave pool for surfers built into the $T$ :	Rotterdam canals
35	1	The image is a black and white portrait of a person with tousled hair, wearing a partially unbuttoned shirt and a necklace with a pendant. The person's expression is neutral, and the lighting creates a dramatic contrast, emphasizing the texture of the hair and the contours of the face. The overall mood is moody and introspective.	RT @ Cosmopolitan : It ' s OK if these sexy shirtless photos of TFIOS ' $T$ makes you . . . feel things	Ansel Elgort
36	2	"The image features a man clapping with a confident and happy expression. The background includes trees, suggesting an outdoor setting. The text on the image highlights a significant action taken by an American president to address climate change, emphasizing the importance of taking action on climate issues. The mention of ""The New York Times"" adds credibility to the statement. The call to action, ""JOIN PRESIDENT OBAMA AND ACTONCLIMATE,"" encourages viewers to take part in addressing climate change."	RT @ BarackObama : # ClimateChangeIsReal . So are the actions $T$ is taking to tackle it .	President Obama
